code;libelle;fiche_code
11987;Chauffeur / Chauffeuse de machines agricoles;A1101
12862;Conducteur / Conductrice d'abatteuses;A1101
38874;Conducteur / Conductrice d'automoteur de récolte;A1101
13254;Conducteur / Conductrice d'engins d'exploitation agricole;A1101
13255;Conducteur / Conductrice d'engins d'exploitation forestière;A1101
13248;Conducteur / Conductrice d'engins de débardage;A1101
13256;Conducteur / Conductrice d'engins forestiers;A1101
38877;Conducteur / Conductrice d'épareuse;A1101
13232;Conducteur / Conductrice de machines à vendanger;A1101
38878;Conducteur / Conductrice de matériels de semis;A1101
38875;Conducteur / Conductrice de pulvérisateur;A1101
13197;Conducteur / Conductrice de tête d'abattage;A1101
13201;Conducteur / Conductrice de tracteur;A1101
140877;Conducteur / Conductrice de tracteur enjambeur;A1101
38879;Conducteur / Conductrice de tracto-benne;A1101
13886;Débardeur / Débardeuse;A1101
13887;Débardeur forestier / Débardeuse forestière;A1101
17055;Opérateur / Opératrice d'abatteuse;A1101
38876;Opérateur / Opératrice d'épandage;A1101
17751;Pilote de machines d'abattage;A1101
20404;Tractoriste agricole;A1101
20405;Tractoriste forestier / Tractoriste forestière;A1101
11105;Arboriste;A1201
11106;Arboriste grimpeur / grimpeuse;A1201
11606;Bûcheron / Bûcheronne;A1201
11607;Bûcheron élagueur / Bûcheronne élagueuse;A1201
11740;Charbonnier / Charbonnière;A1201
12755;Commis / Commise de coupe;A1201
14607;Éhouppeur / Éhouppeuse;A1201
14608;Élagueur / Élagueuse;A1201
14609;Élagueur / Élagueuse espaces verts;A1201
14610;Élagueur-botteur / Élagueuse-botteuse;A1201
14611;Élagueur-grimpeur / Élagueuse-grimpeuse;A1201
15429;Grimpeur-élagueur / Grimpeuse-élagueuse;A1201
38435;Homme / Femme de pied;A1201
17483;Ouvrier / Ouvrière d'exploitation forestière;A1201
10382;Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt;A1202
10383;Agent / Agente d'aménagement des haies et fossés;A1202
10667;Agent / Agente d'entretien de l'espace rural;A1202
10664;Agent / Agente d'entretien de la nature;A1202
10673;Agent / Agente d'entretien des espaces naturels;A1202
10677;Agent / Agente d'entretien des rivières;A1202
10685;Agent / Agente d'entretien nature du littoral;A1202
38323;Agent / Agente d'entretien nature et biodiversité;A1202
12440;Chef d'équipe d'entretien d'espaces naturels;A1202
17474;Ouvrier / Ouvrière d'entretien des espaces naturels;A1202
200080;Ouvrier / Ouvrière de génie écologique;A1202
10675;Agent / Agente d'entretien des parcs et jardins;A1203
38436;Aide jardinier / jardinière;A1203
12439;Chef d'équipe d'entretien des espaces verts;A1203
12482;Chef d'équipe paysagiste;A1203
16067;Jardinier / Jardinière;A1203
16068;Jardinier / Jardinière d'espaces verts;A1203
16069;Jardinier / Jardinière paysagiste;A1203
38437;Manoeuvre des espaces verts;A1203
17475;Ouvrier / Ouvrière d'entretien des espaces verts;A1203
17480;Ouvrier / Ouvrière des espaces verts;A1203
17487;Ouvrier / Ouvrière du paysage;A1203
17515;Ouvrier / Ouvrière paysagiste;A1203
38077;Technicien / Technicienne paysagiste;A1203
10780;Agent / Agente technique des parcs nationaux;A1204
10358;Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel;A1204
14562;Eco garde;A1204
15205;Garde-chasse;A1204
15206;Garde-chasse particulier / particulière;A1204
15195;Garde de parc naturel;A1204
15198;Garde du littoral;A1204
15199;Garde forestier / forestière;A1204
15200;Garde moniteur / monitrice de parc national;A1204
15201;Garde moniteur / monitrice de parc naturel;A1204
15202;Garde national / nationale de la chasse et de la faune sauvage;A1204
15208;Garde-pêche;A1204
15210;Garde-rivière;A1204
15204;Garde technicien / technicienne de réserve naturelle;A1204
200100;Observateur / Observatrice des pêches;A1204
19706;Technicien / Technicienne cynégétique;A1204
38379;Technicien / Technicienne de rivière;A1204
10514;Agent / Agente de maîtrise d'exploitation forestière;A1205
10795;Agent technique forestier / Agente technique forestière;A1205
38438;Chef d'équipe de travaux forestiers;A1205
12136;Chef de district forestier;A1205
38439;Conducteur / Conductrice de travaux forestiers;A1205
13572;Contremaître / Contremaîtresse d'exploitation forestière;A1205
15010;Exploitant forestier / Exploitante forestière;A1205
15109;Forestier / Forestière;A1205
16353;Manoeuvre forestier / forestière;A1205
17502;Ouvrier forestier / Ouvrière forestière;A1205
17536;Ouvrier sylvicole / Ouvrière sylvicole;A1205
17537;Ouvrier sylviculteur / Ouvrière sylvicultrice;A1205
17889;Populiculteur / Populicultrice;A1205
19606;Sylviculteur / Sylvicultrice;A1205
10972;Animateur / Animatrice agricole;A1301
11050;Animateur / Animatrice d'organismes agricoles;A1301
13350;Conseiller / Conseillère agricole;A1301
13386;Conseiller / Conseillère d'agriculture;A1301
